,Player Name,Pick,Position,Team,Draft Year,Start Season,G,GS,Int,Int Yds,IntTD,PD,FF,Fmb,FR,FR Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards,AP DRoY-5,AP CPoY-2,AP CPoY-3,AP DPoY-7,AP CPoY-4,AP MVP-6,AP DPoY-5,AP CPoY-6,PB,AP DRoY-2,AP DPoY-17,AP DPoY-4,AP MVP-8,AP DRoY-3,AP DRoY-4,AP MVP-5,AP DPoY-1,AP-1,AP DPoY-2,AP-2,AP DPoY-3,AP CPoY-12,AP DRoY-1,AP DPoY-9,AP DPoY-6
0,Morris Claiborne,6,DB,DAL,2012,2012,40.0,36.0,3.0,-8.0,0.0,22.0,1.0,0.0,3.0,50.0,1.0,0.0,125.0,102.0,23.0,1.0,1.0,0.0,12.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Mark Barron,7,DB,TAM,2012,2012,62.0,51.0,3.0,15.0,0.0,26.0,4.0,1.0,2.0,8.0,0.0,6.0,364.0,276.0,88.0,27.0,11.0,0.0,29.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Luke Kuechly,9,LB,CAR,2012,2012,61.0,61.0,11.0,103.0,1.0,36.0,3.0,0.0,5.0,9.0,0.0,7.0,591.0,371.0,220.0,38.0,12.0,0.0,56.0,"AP DRoY-1, PB,AP-1,AP DPoY-1, PB,AP-1, PB,AP-1,AP DPoY-3",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0
3,Stephon Gilmore,10,DB,BUF,2012,2012,53.0,51.0,9.0,117.0,0.0,50.0,3.0,0.0,1.0,0.0,0.0,0.0,178.0,156.0,22.0,4.0,0.0,0.0,18.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dontari Poe,11,DT,KAN,2012,2012,62.0,60.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,11.5,173.0,137.0,36.0,15.0,21.0,0.0,38.0,", PB,AP-2, PB",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,Fletcher Cox,12,DT,PHI,2012,2012,63.0,57.0,0.0,0.0,0.0,6.0,5.0,0.0,6.0,24.0,1.0,22.0,212.0,159.0,53.0,31.0,46.0,0.0,38.0,", AP-2, PB,AP-2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
6,Michael Brockers,14,DT,STL,2012,2012,61.0,60.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,14.5,153.0,109.0,44.0,27.0,26.0,0.0,28.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Bruce Irvin,15,DE,SEA,2012,2012,58.0,37.0,3.0,92.0,2.0,7.0,4.0,0.0,2.0,36.0,0.0,22.0,133.0,87.0,46.0,25.0,49.0,0.0,23.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Quinton Coples,16,DE,NYJ,2012,2012,62.0,32.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,16.5,114.0,77.0,37.0,30.0,56.0,0.0,18.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Dre Kirkpatrick,17,DB,CIN,2012,2012,51.0,20.0,6.0,53.0,2.0,28.0,0.0,0.0,1.0,9.0,0.0,1.0,127.0,110.0,17.0,1.0,1.0,0.0,12.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Melvin Ingram,18,DE,SDG,2012,2012,45.0,28.0,0.0,0.0,0.0,12.0,7.0,0.0,2.0,0.0,0.0,16.5,143.0,104.0,39.0,24.0,31.0,0.0,15.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shea McClellin,19,DE,CHI,2012,2012,52.0,31.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,7.5,161.0,98.0,63.0,16.0,20.0,0.0,14.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Chandler Jones,21,DE,NWE,2012,2012,55.0,52.0,1.0,0.0,0.0,8.0,10.0,0.0,2.0,0.0,1.0,36.0,211.0,125.0,86.0,38.0,64.0,0.0,32.0,", PB",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dont'a Hightower,25,LB,NWE,2012,2012,54.0,51.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,6.0,1.0,14.5,307.0,200.0,107.0,28.0,33.0,0.0,27.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Whitney Mercilus,26,DE,HOU,2012,2012,63.0,43.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,5.0,0.0,30.0,174.0,116.0,58.0,35.0,52.0,0.0,24.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Nick Perry,28,DE,GNB,2012,2012,46.0,16.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,12.5,100.0,66.0,34.0,17.0,13.0,0.0,10.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Harrison Smith,29,DB,MIN,2012,2012,53.0,52.0,12.0,276.0,4.0,25.0,3.0,0.0,2.0,0.0,0.0,5.5,320.0,241.0,79.0,13.0,13.0,0.0,24.0,", PB",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Courtney Upshaw,35,LB,BAL,2012,2012,64.0,51.0,0.0,0.0,0.0,6.0,3.0,0.0,5.0,5.0,0.0,5.0,183.0,111.0,72.0,17.0,17.0,0.0,26.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Derek Wolfe,36,DT,DEN,2012,2012,55.0,55.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,17.0,140.0,96.0,44.0,25.0,34.0,0.0,27.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Andre Branch,38,LB,JAX,2012,2012,51.0,12.0,0.0,0.0,0.0,11.0,5.0,0.0,3.0,49.0,1.0,14.0,91.0,69.0,22.0,16.0,21.0,0.0,10.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Jackrabbit Jenkins,39,DB,STL,2012,2012,60.0,58.0,10.0,279.0,5.0,48.0,3.0,3.0,2.0,2.0,1.0,1.0,256.0,229.0,27.0,5.0,1.0,0.0,26.0,"AP DRoY-4, ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Mychal Kendricks,46,LB,PHI,2012,2012,55.0,53.0,3.0,25.0,0.0,18.0,6.0,0.0,4.0,6.0,0.0,12.0,349.0,264.0,85.0,33.0,25.0,0.0,25.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Bobby Wagner,47,LB,SEA,2012,2012,56.0,55.0,5.0,64.0,0.0,21.0,2.0,0.0,4.0,45.0,2.0,9.5,478.0,293.0,185.0,25.0,21.0,0.0,46.0,"AP DRoY-2, , PB,AP-1,AP MVP-5, PB,AP-2",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
