,Player Name,Pick,Position,Team,Draft Year,Start Season,G,GS,Att,Rush Yds,Rush TD,Rush 1D,Tgt,Rec,Rec Yds,Rec TD,Rec 1D,Touch,YScm,RRTD,Fmb,AV,Rush Succ%,Y/A,Rush Y/G,A/G,Y/R,Rec Succ%,R/G,Rec Y/G,Ctch%,Y/Tgt,Y/Tch,Awards,AP OPoY-4,AP CPoY-2,AP CPoY-5,AP OPoY-1,AP ORoY-1,AP ORoY-2,AP CPoY-3,AP ORoY-3,AP MVP-3,AP OPoY-11,AP CPoY-4,AP ORoY-4,AP CPoY-6,AP MVP-9,PB,AP MVP-8,AP OPoY-6,AP OPoY-8,AP OPoY-3,AP MVP-5,AP OPoY-2,AP-1,AP-2,AP MVP-2,AP OPoY-5
0,Trent Richardson,3,RB,CLE,2012,2012,46.0,37.0,614.0,2032.0,17.0,93.0,156.0,113.0,912.0,2.0,43.0,727.0,2944.0,19.0,7.0,18.0,31.15,2.4749999999999996,33.275,10.05,6.175,37.025,1.8499999999999999,14.899999999999999,54.9,4.5,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Justin Blackmon,5,WR,JAX,2012,2012,20.0,18.0,3.0,22.0,0.0,2.0,180.0,93.0,1280.0,6.0,58.0,96.0,1302.0,6.0,1.0,9.0,25.0,2.625,0.27499999999999997,0.1,6.95,25.549999999999997,2.825,39.475,27.225,3.8,6.825,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Michael Floyd,13,WR,ARI,2012,2012,63.0,39.0,1.0,2.0,0.0,0.0,387.0,209.0,3293.0,19.0,148.0,210.0,3295.0,19.0,4.0,25.0,0.0,0.5,0.025,0.025,15.675,47.95,3.3249999999999997,52.349999999999994,53.925000000000004,8.425,15.600000000000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Kendall Wright,20,WR,TEN,2012,2012,55.0,37.0,10.0,75.0,0.0,3.0,396.0,251.0,2828.0,15.0,146.0,261.0,2903.0,15.0,4.0,22.0,47.5,5.225,1.475,0.225,11.274999999999999,48.075,4.475,50.25,62.599999999999994,7.075,11.049999999999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,A.J. Jenkins,30,WR,SFO,2012,2012,28.0,3.0,4.0,4.0,0.0,0.0,33.0,17.0,223.0,0.0,9.0,21.0,227.0,0.0,1.0,2.0,12.5,0.5,0.05,0.07500000000000001,6.65,17.35,0.375,4.6,26.775,3.45,5.475,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Doug Martin,31,RB,TAM,2012,2012,49.0,49.0,868.0,3806.0,20.0,174.0,158.0,107.0,873.0,2.0,32.0,975.0,4679.0,22.0,8.0,31.0,41.15,4.199999999999999,74.85,17.825,7.05,33.225,2.1,15.799999999999999,65.0,4.725,4.5,"PB, , PB,AP-1,AP CPoY-4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
6,David Wilson,32,RB,NYG,2012,2012,21.0,6.0,115.0,504.0,5.0,27.0,15.0,6.0,42.0,1.0,2.0,121.0,546.0,6.0,3.0,5.0,20.875,2.075,12.899999999999999,3.3000000000000003,3.125,12.5,0.175,0.925,19.424999999999997,1.275,2.125,"AP-2, ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Brian Quick,33,WR,STL,2012,2012,51.0,15.0,0.0,0.0,0.0,0.0,133.0,64.0,935.0,7.0,46.0,64.0,935.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,14.05,0.0,1.55,22.675,46.875,6.8,14.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Coby Fleener,34,TE,IND,2012,2012,60.0,45.0,0.0,0.0,0.0,0.0,311.0,183.0,2154.0,17.0,109.0,183.0,2154.0,17.0,1.0,19.0,0.0,0.0,0.0,0.0,11.700000000000001,47.575,3.025,35.125,58.425,6.775,11.700000000000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Stephen Hill,43,WR,NYJ,2012,2012,23.0,19.0,0.0,0.0,0.0,0.0,106.0,45.0,594.0,4.0,34.0,45.0,594.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,6.575,0.0,0.975,12.85,21.35,2.8,6.575,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Alshon Jeffery,45,WR,CHI,2012,2012,51.0,44.0,22.0,138.0,0.0,9.0,435.0,252.0,3728.0,24.0,182.0,274.0,3866.0,24.0,5.0,32.0,27.625,3.025,2.175,0.35,14.875,50.5,4.825,71.5,56.525,8.4,14.375,", PB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Isaiah Pead,50,RB,STL,2012,2012,30.0,1.0,27.0,100.0,0.0,4.0,20.0,15.0,100.0,0.0,3.0,42.0,200.0,0.0,3.0,1.0,35.1,3.175,3.625,1.275,4.6,49.175,0.4,2.725,62.075,3.8,3.875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ryan Broyles,54,WR,DET,2012,2012,21.0,6.0,0.0,0.0,0.0,0.0,51.0,32.0,420.0,2.0,22.0,32.0,420.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,9.3,0.0,0.975,12.55,41.475,5.199999999999999,9.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,LaMichael James,61,RB,SFO,2012,2012,18.0,0.0,44.0,193.0,0.0,12.0,9.0,5.0,45.0,0.0,4.0,49.0,238.0,0.0,4.0,2.0,18.5,2.825,10.05,2.425,4.425,31.675,0.25,2.225,31.675,2.775,3.075,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Rueben Randle,63,WR,NYG,2012,2012,64.0,33.0,0.0,0.0,0.0,0.0,327.0,188.0,2644.0,20.0,125.0,188.0,2644.0,20.0,4.0,22.0,0.0,0.0,0.0,0.0,14.45,0.0,2.9499999999999997,41.3,57.8,8.35,14.45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Dwayne Allen,64,TE,IND,2012,2012,43.0,42.0,4.0,6.0,0.0,3.0,147.0,91.0,1045.0,13.0,59.0,95.0,1051.0,13.0,2.0,8.0,41.675,0.675,0.1,0.07500000000000001,13.0,51.599999999999994,1.8,22.85,57.849999999999994,7.3999999999999995,12.775,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Ronnie Hillman,67,RB,DEN,2012,2012,48.0,14.0,453.0,1845.0,12.0,97.0,95.0,67.0,431.0,1.0,20.0,520.0,2276.0,13.0,8.0,16.0,46.125,4.05,38.4,9.45,6.825000000000001,42.125,1.5,10.15,74.85,5.249999999999999,4.45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DeVier Posey,68,WR,HOU,2012,2012,26.0,1.0,1.0,-3.0,0.0,0.0,40.0,22.0,272.0,0.0,9.0,23.0,269.0,0.0,0.0,2.0,0.0,-0.75,-0.075,0.025,13.7,39.925,0.65,12.25,50.725,10.6,13.075,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,T.J. Graham,69,WR,BUF,2012,2012,47.0,18.0,5.0,19.0,0.0,2.0,128.0,61.0,794.0,4.0,32.0,66.0,813.0,4.0,1.0,7.0,37.5,2.125,0.3,0.1,15.275,32.85,1.2,14.35,57.65,7.175000000000001,14.775,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Michael Egnew,78,TE,MIA,2012,2012,18.0,5.0,0.0,0.0,0.0,0.0,11.0,7.0,69.0,0.0,2.0,7.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.475,0.0,0.1,1.075,15.9,1.575,2.475,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Mohamed Sanu,83,WR,CIN,2012,2012,57.0,34.0,26.0,153.0,2.0,8.0,249.0,152.0,1793.0,11.0,93.0,178.0,1946.0,13.0,3.0,19.0,64.275,5.35,2.575,0.475,11.325,50.525,2.5749999999999997,29.875,62.349999999999994,7.050000000000001,10.325,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Bernard Pierce,84,RB,BAL,2012,2012,52.0,3.0,359.0,1345.0,5.0,68.0,47.0,32.0,171.0,0.0,7.0,391.0,1516.0,5.0,1.0,10.0,33.75,3.3750000000000004,22.599999999999998,6.1,5.175,34.8,0.5750000000000001,2.85,59.224999999999994,3.025,3.525,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,T.Y. Hilton,92,WR,IND,2012,2012,62.0,41.0,9.0,55.0,0.0,3.0,494.0,283.0,4413.0,24.0,190.0,292.0,4468.0,24.0,6.0,38.0,35.0,4.7,0.8999999999999999,0.125,15.774999999999999,49.775,4.55,71.275,57.175,9.025,15.45,", PB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Chris Givens,96,WR,STL,2012,2012,60.0,31.0,11.0,42.0,0.0,4.0,237.0,107.0,1779.0,5.0,70.0,118.0,1821.0,5.0,1.0,13.0,47.9,3.8,0.7,0.2,16.375,36.425,1.75,29.25,46.375,7.525,15.125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lamar Miller,97,RB,MIA,2012,2012,61.0,48.0,638.0,2930.0,19.0,137.0,152.0,117.0,887.0,3.0,34.0,755.0,3817.0,22.0,5.0,25.0,48.125,4.625,46.675,10.15,7.4,45.12500000000001,1.85,14.024999999999999,76.225,5.7,5.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Travis Benjamin,100,WR,CLE,2012,2012,54.0,21.0,14.0,134.0,0.0,6.0,221.0,109.0,1683.0,10.0,69.0,123.0,1817.0,10.0,8.0,14.0,66.675,15.675,2.95,0.25,17.3,42.425,1.825,28.6,45.15,7.675,17.325,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Joe Adams,104,WR,CAR,2012,2012,9.0,0.0,3.0,7.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,4.0,20.0,0.0,4.0,0.0,0.0,1.075,0.2,0.075,1.75,0.0,0.025,0.35,25.0,1.75,1.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Robert Turbin,106,RB,SEA,2012,2012,58.0,3.0,281.0,1127.0,1.0,52.0,65.0,50.0,450.0,2.0,19.0,331.0,1577.0,3.0,2.0,13.0,47.25,4.0,19.475,4.85,7.9750000000000005,42.225,0.8500000000000001,7.250000000000001,74.825,6.125000000000001,4.6499999999999995,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Devon Wylie,107,WR,KAN,2012,2012,8.0,1.0,0.0,0.0,0.0,0.0,12.0,6.0,53.0,0.0,2.0,6.0,53.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.25,2.2,12.5,1.1,2.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Ladarius Green,110,TE,SDG,2012,2012,47.0,26.0,0.0,0.0,0.0,0.0,122.0,77.0,1087.0,7.0,52.0,77.0,1087.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,14.9,0.0,1.575,21.65,72.85,10.575,14.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Evan Rodriguez,111,TE,CHI,2012,2012,20.0,5.0,0.0,0.0,0.0,0.0,9.0,4.0,21.0,0.0,2.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.325,0.0,0.075,0.45,12.5,0.65,1.325,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Orson Charles,116,TE,CIN,2012,2012,36.0,6.0,0.0,0.0,0.0,0.0,14.0,11.0,162.0,0.0,6.0,11.0,162.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.775,0.0,0.25,4.375,57.5,10.15,11.775,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Jarius Wright,118,WR,MIN,2012,2012,55.0,14.0,8.0,111.0,0.0,5.0,191.0,124.0,1774.0,7.0,84.0,132.0,1885.0,7.0,1.0,18.0,57.5,12.175,1.95,0.175,14.45,51.3,2.35,33.95,64.325,9.25,14.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Keshawn Martin,121,WR,HOU,2012,2012,57.0,10.0,5.0,59.0,0.0,3.0,117.0,62.0,685.0,5.0,35.0,67.0,744.0,5.0,4.0,7.0,43.75,4.825,1.0,0.1,11.05,35.275,1.275,13.975,51.4,5.775,11.35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Nick Toon,122,WR,NOR,2012,2012,17.0,5.0,1.0,4.0,0.0,0.0,35.0,21.0,283.0,1.0,15.0,22.0,287.0,1.0,1.0,3.0,25.0,1.0,0.125,0.025,7.4,24.725,0.65,8.85,26.8,3.75,7.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Adrien Robinson,127,TE,NYG,2012,2012,19.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,50.0,1.0,3.0,5.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.075,0.775,17.85,1.775,2.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Rhett Ellison,128,RB,MIN,2012,2012,58.0,35.0,0.0,458.0,3.0,23.0,64.0,42.0,0.0,0.0,0.0,42.0,458.0,3.0,0.0,5.0,55.074999999999996,0.0,7.7250000000000005,0.0,10.925,0.0,0.7,0.0,64.69999999999999,6.95,10.925,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
