,Player Name,Pick,Position,Team,Draft Year,Start Season,G,GS,Pnt,Yds,RetYds,NetYds,Lng,TB,Pnt20,Blck,AV,Y/P,NY/P,TB%,In20%,Awards,PB,AP-1
0,Bryan Anger,70,P,JAX,2012,2012,64.0,0.0,360.0,16855.0,1751.0,14564.0,266.0,27.0,113.0,3.0,12.0,46.825,40.1,7.375,31.450000000000003,,0,0
1,Brad Nortman,207,P,CAR,2012,2012,64.0,0.0,288.0,13022.0,1376.0,11206.0,272.0,22.0,91.0,3.0,8.0,45.275,38.599999999999994,7.574999999999999,31.674999999999997,,0,0
2,Jeff Locke,155,P,MIN,2013,2013,64.0,0.0,290.0,12535.0,934.0,11261.0,260.0,17.0,101.0,1.0,6.0,43.15,38.675,5.925000000000001,34.85,,0,0
3,Sam Martin,165,P,DET,2013,2013,64.0,0.0,282.0,13226.0,1034.0,11772.0,272.0,21.0,99.0,1.0,12.0,46.95,41.675,7.4750000000000005,35.4,,0,0
4,Pat O'Donnell,191,P,CHI,2014,2014,63.0,0.0,296.0,13285.0,1326.0,11599.0,269.0,18.0,99.0,2.0,10.0,44.75,38.875,6.050000000000001,33.625,,0,0
5,Bradley Pinion,165,P,SFO,2015,2015,64.0,0.0,334.0,14599.0,960.0,13359.0,250.0,14.0,112.0,1.0,0.0,43.675,39.9,4.175000000000001,33.95,,0,0
6,Drew Kaser,179,P,SDG,2016,2016,36.0,0.0,146.0,6918.0,715.0,5903.0,204.0,15.0,50.0,1.0,5.0,35.7,29.125,7.1,26.375,,0,0
7,Riley Dixon,228,P,DEN,2016,2016,64.0,0.0,302.0,13803.0,842.0,12661.0,250.0,15.0,100.0,4.0,8.0,45.7,41.4,4.824999999999999,33.3,,0,0
8,Lac Edwards,235,P,NYJ,2016,2016,64.0,0.0,338.0,15368.0,1437.0,13611.0,259.0,16.0,108.0,1.0,10.0,45.375,40.05,4.7749999999999995,31.825,,0,0
9,Michael Dickson,149,P,SEA,2018,2018,65.0,0.0,296.0,14023.0,978.0,12525.0,267.0,26.0,134.0,1.0,12.0,47.45,42.300000000000004,8.75,45.625,"PB,AP-1, ",1,1
10,JK Scott,172,P,GNB,2018,2018,49.0,0.0,198.0,8813.0,730.0,7763.0,242.0,16.0,63.0,2.0,6.0,43.5,38.875,6.1,24.275,,0,0
11,Johnny Townsend,173,P,OAK,2018,2018,21.0,0.0,85.0,3678.0,325.0,3233.0,182.0,6.0,19.0,0.0,2.0,34.0,28.025,3.7,9.925,,0,0
12,Logan Cooke,247,P,JAX,2018,2018,61.0,0.0,281.0,13074.0,632.0,12142.0,273.0,15.0,109.0,0.0,11.0,46.7,43.325,5.325000000000001,38.5,,0,0
13,Mitch Wishnowsky,110,P,SFO,2019,2019,66.0,0.0,236.0,10668.0,662.0,9646.0,266.0,18.0,101.0,1.0,7.0,45.175000000000004,40.7,7.475,42.849999999999994,,0,0
14,Jake Bailey,163,P,NWE,2019,2019,58.0,0.0,222.0,10189.0,541.0,9208.0,269.0,22.0,102.0,3.0,7.0,45.74999999999999,40.4,10.55,45.025,", PB,AP-1",1,1
15,Braden Mann,191,P,NYJ,2020,2020,58.0,0.0,250.0,11552.0,1189.0,10083.0,258.0,15.0,75.0,1.0,9.0,46.575,40.675,5.1000000000000005,30.975,,0,0
16,Sterling Hofrichter,228,P,ATL,2020,2020,18.0,0.0,62.0,2608.0,158.0,2404.0,102.0,2.0,20.0,0.0,1.0,20.075,18.375,0.9,20.1,,0,0
17,Pressley Harvin III,254,P,PIT,2021,2021,47.0,0.0,217.0,9473.0,656.0,8537.0,196.0,14.0,75.0,0.0,4.0,32.724999999999994,29.525,4.8,25.8,,0,0
