,Player Name,Pick,Position,Team,Draft Year,Start Season,G,GS,Wins,Losses,Draws,Cmp,Att,Pass Yds,TD,Int,1D,Sk,Sack Yds,4QC,GWD,AV,Cmp%,TD%,Succ%,Y/A,AY/A,Y/C,Y/G,Rate,Sk%,NY/A,ANY/A,Awards,AP MVP-7,AP OPoY-4,AP CPoY-5,AP OPoY-1,AP ORoY-1,AP ORoY-2,AP ORoY-3,AP OPoY-9,AP MVP-3,AP CPoY-1,AP MVP-6,AP CPoY-11,AP MVP-9,PB,AP MVP-1,AP OPoY-3,AP OPoY-2,AP-1,AP-2,AP MVP-2,AP CPoY-12,AP MVP-4,AP OPoY-6
0,Andrew Luck,1,QB,IND,2012,2012,55.0,55.0,35.0,20.0,0.0,1224.0,2106.0,14838.0,101.0,55.0,724.0,115.0,722.0,9.0,13.0,48.0,57.825,4.824999999999999,44.55,6.949999999999999,6.67,12.025,269.65,83.725,5.1325,6.279999999999999,6.01,"PB,AP ORoY-2, PB, PB, ",0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1,Robert Griffin III,2,QB,WAS,2012,2012,42.0,40.0,15.0,25.0,0.0,766.0,1210.0,8983.0,42.0,26.0,423.0,123.0,856.0,4.0,5.0,35.0,63.39999999999999,2.975,42.125,7.25,6.885,11.45,206.27500000000003,86.0,10.29,5.8375,5.494999999999999,"PB,AP ORoY-1, , , ",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Ryan Tannehill,8,QB,MIA,2012,2012,64.0,64.0,29.0,35.0,0.0,1392.0,2248.0,15460.0,87.0,54.0,775.0,184.0,1390.0,9.0,7.0,45.0,61.75,3.8249999999999997,43.849999999999994,6.8999999999999995,6.550000000000001,11.15,241.575,84.825,7.5200000000000005,5.7925,5.492500000000001,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Brandon Weeden,22,QB,CLE,2012,2012,34.0,25.0,6.0,19.0,0.0,559.0,965.0,6462.0,31.0,30.0,319.0,66.0,452.0,2.0,3.0,14.0,59.5,4.25,41.15,6.975,6.3575,11.775000000000002,169.125,81.35,5.842499999999999,6.1475,5.5725,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Brock Osweiler,57,QB,DEN,2012,2012,21.0,7.0,5.0,2.0,0.0,187.0,305.0,2126.0,11.0,6.0,100.0,25.0,159.0,2.0,2.0,5.0,55.150000000000006,3.4,41.3,5.325,5.76,9.8,71.275,79.275,4.7075,4.78,5.2225,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Russell Wilson,75,QB,SEA,2012,2012,64.0,64.0,46.0,18.0,0.0,1123.0,1735.0,13974.0,106.0,34.0,661.0,164.0,982.0,9.0,14.0,71.0,64.6,6.1,46.55,8.025,8.3775,12.475000000000001,218.35000000000002,101.57499999999999,8.6325,6.835,7.14,"PB,AP ORoY-3, PB,AP OPoY-4, PB, PB,AP OPoY-3",0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
6,Nick Foles,88,QB,PHI,2012,2012,39.0,35.0,19.0,16.0,0.0,740.0,1230.0,8805.0,53.0,27.0,394.0,71.0,476.0,5.0,6.0,23.0,60.25,4.275,41.125,7.15,7.0175,11.8,230.5,87.17500000000001,5.484999999999999,6.37,6.2299999999999995,", PB, , ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Kirk Cousins,102,QB,WAS,2012,2012,30.0,25.0,11.0,14.0,0.0,619.0,950.0,7196.0,47.0,30.0,342.0,42.0,315.0,3.0,4.0,16.0,63.175,5.275,46.1,7.825,6.9399999999999995,12.3,217.875,87.0,4.3375,7.120000000000001,6.2775,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Ryan Lindley,185,QB,ARI,2012,2012,10.0,6.0,1.0,5.0,0.0,140.0,274.0,1372.0,3.0,11.0,73.0,18.0,137.0,0.0,0.0,-4.0,40.1,3.05,32.0,4.05,3.7249999999999996,7.6499999999999995,92.65,53.275,3.155,3.6550000000000002,3.3724999999999996,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,EJ Manuel,16,QB,BUF,2013,2013,28.0,17.0,6.0,11.0,0.0,319.0,547.0,3502.0,19.0,15.0,162.0,43.0,268.0,1.0,3.0,10.0,55.25,2.75,41.9,6.125,5.699999999999999,11.174999999999999,116.675,73.7,7.4425,5.1975,4.785,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Geno Smith,39,QB,NYJ,2013,2013,33.0,30.0,12.0,18.0,0.0,501.0,866.0,5962.0,28.0,36.0,284.0,77.0,528.0,3.0,7.0,15.0,59.225,4.525,43.95,7.275,6.1675,12.350000000000001,174.7,78.275,10.065,5.8325,4.87,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Mike Glennon,73,QB,TAM,2013,2013,25.0,22.0,6.0,16.0,0.0,467.0,770.0,4933.0,34.0,20.0,240.0,64.0,483.0,3.0,4.0,13.0,68.575,5.375,51.075,6.525,6.6000000000000005,9.8,170.64999999999998,92.375,5.3725,5.75,5.87,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Matt Barkley,98,QB,PHI,2013,2013,12.0,7.0,2.0,5.0,0.0,174.0,291.0,2143.0,10.0,18.0,119.0,10.0,75.0,0.0,0.0,3.0,45.225,2.925,36.75,5.725,4.6525,9.5,140.525,67.475,3.0799999999999996,5.2475,4.237500000000001,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Ryan Nassib,110,QB,NYG,2013,2013,5.0,0.0,0.0,0.0,0.0,9.0,10.0,128.0,1.0,0.0,6.0,2.0,11.0,0.0,0.0,0.0,45.0,5.0,39.275,6.4,7.4,7.15,20.75,68.75,7.1425,5.15,6.15,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Landry Jones,115,QB,PIT,2013,2013,18.0,5.0,3.0,2.0,0.0,108.0,169.0,1310.0,8.0,7.0,55.0,9.0,66.0,1.0,2.0,4.0,50.475,3.4499999999999997,32.425,6.075,5.29,9.225,55.7,65.725,4.4075,5.4375,4.682499999999999,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,B.J. Daniels,237,QB,SFO,2013,2013,8.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.875,0.875,1.75,0.225,14.575,0.0,0.875,0.875,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Sean Renfree,249,QB,ATL,2013,2013,2.0,0.0,0.0,0.0,0.0,3.0,7.0,11.0,0.0,1.0,1.0,2.0,17.0,0.0,0.0,0.0,10.725,0.0,5.55,0.4,-1.215,0.925,1.375,2.675,5.555,-0.1675,-1.4175,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Blake Bortles,3,QB,JAX,2014,2014,62.0,61.0,21.0,40.0,0.0,1318.0,2229.0,14928.0,90.0,64.0,758.0,164.0,985.0,6.0,7.0,42.0,59.150000000000006,3.95,42.775000000000006,6.6499999999999995,6.165,11.3,239.75,80.3,6.9225,5.81,5.335,", , , ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
