position,weight,height,40yd,player_id,cluster,Unnamed: 0,player_name,pos_abbr,draft_year,3Cone,Competitive,Resilient,career_avg_total_qbr,career_avg_sack
C,0.8723404255319149,0.8139534883720945,0.2881355932203391,29007,9,52,Peter Konz,C,2012,,,,,
C,0.6382978723404253,0.3720930232558146,0.6101694915254239,27705,7,93,Ben Jones,C,2012,,,,,
C,0.8085106382978724,0.395348837209303,0.3050847457627128,28586,6,102,Philip Blake,C,2012,,,,,
C,0.5319148936170208,0.0465116279069768,0.3220338983050848,28002,8,212,David Molk,C,2012,,,,,
C,0.829787234042553,0.5581395348837219,1.0,30283,3,310,Travis Frederick,C,2013,,,,,
C,0.8723404255319149,0.4418604651162798,0.0,30374,5,385,Brian Schwenke,C,2013,,,,,
C,0.7021276595744679,0.7209302325581408,0.7457627118644066,30246,3,391,Barrett Jones,C,2013,,,,,
C,0.6170212765957448,0.4883720930232567,0.5084745762711869,30159,7,400,Khaled Holmes,C,2013,,,,,
C,0.6595744680851059,0.6046511627906987,0.4241323648103314,30119,0,449,Eric Kush,C,2013,,,,,
C,0.5319148936170208,0.5116279069767451,0.1864406779661021,33657,5,604,Weston Richburg,C,2014,,,,,
C,1.0,0.5116279069767451,0.6610169491525433,34735,3,631,Marcus Martin,C,2014,,,,,
C,0.829787234042553,0.8139534883720945,0.4915254237288149,34133,1,637,Travis Swanson,C,2014,,,,,
C,0.8936170212765955,0.6046511627906987,0.7627118644067803,33090,3,665,Bryan Stork,C,2014,,,,,
C,0.787234042553191,0.4651162790697682,0.4241323648103314,34734,6,671,Russell Bodine,C,2014,,,,,
C,0.5957446808510634,0.395348837209303,0.4237288135593235,34373,7,720,Corey Linsley,C,2014,,,,,
C,0.5106382978723403,0.8837209302325579,0.2033898305084758,34897,2,732,Wesley Johnson,C,2014,,,,,
C,0.4255319148936172,0.8372093023255829,0.4241323648103314,34388,2,763,Luke Bowanko,C,2014,,,,,
C,0.8510638297872335,0.9069767441860463,0.2711864406779671,46825,9,910,Cameron Erving,C,2015,,,,,
C,0.5106382978723403,0.4418604651162798,0.0677966101694931,46896,5,961,Hroniss Grasu,C,2015,,,,,
C,0.6595744680851059,0.2093023255813957,0.4241323648103314,47018,8,1017,Shaq Mason,C,2015,,,,,
C,0.7659574468085104,0.6511627906976756,0.4237288135593235,46941,1,1019,Max Garcia,C,2015,,,,,
C,0.7021276595744679,0.3255813953488378,0.8644067796610173,47054,3,1094,Andy Gallik,C,2015,,,,,
C,0.5957446808510634,0.395348837209303,0.4241323648103314,47582,7,1108,Austin Reiter,C,2015,,,,,
C,0.8085106382978724,0.6279069767441872,0.0677966101694931,50307,5,1271,Ryan Kelly,C,2016,,,,,
C,0.5531914893617023,0.6511627906976756,0.3898305084745761,49817,0,1303,Nick Martin,C,2016,,,,,
C,0.5319148936170208,0.8139534883720945,0.2203389830508477,50309,2,1319,Max Tuerk,C,2016,,,,,
